CRS,DAC,CODE,DESC,Mapped to UN System Function
31110,,31110,Agricultural policy and administrative management,Development
31120,,31120,Agricultural development,Development
31130,,31130,Agricultural land resources,Development
31140,,31140,Agricultural water resources,Development
31150,,31150,Agricultural inputs,Development
31161,,31161,Food crop production,Development
31162,,31162,Industrial crops/export crops,Development
31163,,31163,Livestock,Development
31164,,31164,Agrarian reform,Development
31165,,31165,Agricultural alternative development,Development
31166,,31166,Agricultural extension,Development
31181,,31181,Agricultural education/training,Development
31182,,31182,Agricultural research,Development
31191,,31191,Agricultural services,Development
31192,,31192,Plant and post-harvest protection and pest control,Development
31193,,31193,Agricultural financial services,Development
31194,,31194,Agricultural co-operatives,Development
31195,,31195,Livestock/veterinary services,Development
,312,312,Forestry,Development
31210,,31210,Forestry policy and administrative management,Development
31220,,31220,Forestry development,Development
31261,,31261,Fuelwood/charcoal,Development
31281,,31281,Forestry education/training,Development
31282,,31282,Forestry research,Development
31291,,31291,Forestry services,Development
,313,313,Fishing,Development
31310,,31310,Fishing policy and administrative management,Development
31320,,31320,Fishery development,Development
31381,,31381,Fishery education/training,Development
31382,,31382,Fishery research,Development
31391,,31391,Fishery services,Development
,320,320,"Industry, Mining, Construction",Development
,321,321,Industry,Development
32110,,32110,Industrial policy and administrative management,Development
32120,,32120,Industrial development,Development
32130,,32130,Small and medium-sized enterprises (SME) development,Development
32140,,32140,Cottage industries and handicraft,Development
32161,,32161,Agro-industries,Development
32162,,32162,Forest industries,Development
32163,,32163,"Textiles, leather and substitutes",Development
32164,,32164,Chemicals,Development
32165,,32165,Fertilizer plants,Development
32166,,32166,Cement/lime/plaster,Development
32167,,32167,Energy manufacturing,Development
32168,,32168,Pharmaceutical production,Development
32169,,32169,Basic metal industries,Development
32170,,32170,Non-ferrous metal industries,Development
32171,,32171,Engineering,Development
32172,,32172,Transport equipment industry,Development
32173,,32173,Modern biofuels manufacturing,Development
32174,,32174,Clean cooking appliances manufacturing,Development
32182,,32182,Technological research and development,Development
,322,322,Mineral Resources & Mining,Development
32210,,32210,Mineral/mining policy and administrative management,Development
32220,,32220,Mineral prospection and exploration,Development
32261,,32261,Coal,Development
32262,,32262,Oil and gas,Development
32263,,32263,Ferrous metals,Development
32264,,32264,Nonferrous metals,Development
32265,,32265,Precious metals/materials,Development
32266,,32266,Industrial minerals,Development
32267,,32267,Fertilizer minerals,Development
32268,,32268,Offshore minerals,Development
,323,323,Construction,Development
32310,,32310,Construction policy and administrative management,Development
,331,331,Trade Policies & Regulations,Development
33110,,33110,Trade policy and administrative management,Development
33120,,33120,Trade facilitation,Development
33130,,33130,Regional trade agreements (RTAs),Development
33140,,33140,Multilateral trade negotiations,Development
33150,,33150,Trade-related adjustment,Development
33181,,33181,Trade education/training,Development
,332,332,Tourism,Development
33210,,33210,Tourism policy and administrative management,Development
,410,410,General Environment Protection,Development
41010,,41010,Environmental policy and administrative management,Development
41020,,41020,Biosphere protection,Development
41030,,41030,Bio-diversity,Development
41040,,41040,Site preservation,Development
41081,,41081,Environmental education/training,Development
41082,,41082,Environmental research,Development
,430,430,Other Multisector,Development
43010,,43010,Multisector aid,Development
43030,,43030,Urban development and management,Development
43040,,43040,Rural development,Development
43050,,43050,Non-agricultural alternative development,Development
43060,,43060,Disaster Risk Reduction,Development
43071,,43071,Food security policy and administrative management,Development
43072,,43072,Household food security programmes,Development
43073,,43073,Food safety and quality,Development
43081,,43081,Multisector education/training,Development
43082,,43082,Research/scientific institutions,Development
,510,510,General Budget Support,Development
51010,,51010,General budget support-related aid,Development
,520,520,Developmental Food Aid/Food Security Assistance,Development
52010,,52010,Food assistance,Development
,530,530,Other Commodity Assistance,Development
53030,,53030,Import support (capital goods),Development
53040,,53040,Import support (commodities),Development
,600,600,Action Relating to Debt,Development
60010,,60010,Action relating to debt,Development
60020,,60020,Debt forgiveness,Development
60030,,60030,Relief of multilateral debt,Development
60040,,60040,Rescheduling and refinancing,Development
60061,,60061,Debt for development swap,Development
60062,,60062,Other debt swap,Development
60063,,60063,Debt buy-back,Development
,720,720,Emergency Response,Humanitarian
72010,,72010,Material relief assistance and services ,Humanitarian
72011,,72011,Basic Health Care Services in Emergencies,Humanitarian
72012,,72012,Education in emergencies,Humanitarian
72040,,72040,Emergency food assistance,Humanitarian
72050,,72050,Relief co-ordination; protection and support services,Humanitarian
,730,730,Reconstruction Relief & Rehabilitation,Humanitarian
73010,,73010,Immediate postemergency reconstruction and rehabilitation,Humanitarian
,740,740,Disaster Prevention & Preparedness,Humanitarian
74020,,74020,Multi-hazard response preparedness,Humanitarian
,910,910,Administrative Costs of Donors,(allocate proportion)
91010,,91010,Administrative costs (non-sector allocable),(allocate proportion)
,930,930,Refugees in Donor Countries,Humanitarian
93010,,93010,Refugees in donor countries (non-sector allocable),Humanitarian
,998,998,Unallocated / Unspecified,Development/Humanitarian/Peace/Global Agenda
99810,,99810,Sectors not specified,Development/Humanitarian/Peace/Global Agenda
99820,,99820,Promotion of development awareness (non-sector allocable),Development/Humanitarian/Peace/Global Agenda
